cycle,index,pc,instruction,rd,value
2360,644,00000020,00018463,0,00000000
2363,645,00000024,fe0006e3,0,00000000
2368,646,00000010,00012283,5,0000000a
2373,647,00000014,005080b3,1,00000667
2376,648,00000018,00410113,2,00000028
2379,649,0000001c,fff18193,3,00000016
2382,650,00000020,00018463,0,00000000
2385,651,00000024,fe0006e3,0,00000000
2390,652,00000010,00012283,5,0000000b
2395,653,00000014,005080b3,1,00000672
2398,654,00000018,00410113,2,0000002c
2401,655,0000001c,fff18193,3,00000015
2404,656,00000020,00018463,0,00000000
2407,657,00000024,fe0006e3,0,00000000
2412,658,00000010,00012283,5,0000000c
2417,659,00000014,005080b3,1,0000067e
2420,660,00000018,00410113,2,00000030
2423,661,0000001c,fff18193,3,00000014
2426,662,00000020,00018463,0,00000000
2429,663,00000024,fe0006e3,0,00000000
2434,664,00000010,00012283,5,0000000d
2439,665,00000014,005080b3,1,0000068b
2442,666,00000018,00410113,2,00000034
2445,667,0000001c,fff18193,3,00000013
2448,668,00000020,00018463,0,00000000
2451,669,00000024,fe0006e3,0,00000000
2456,670,00000010,00012283,5,0000000e
2461,671,00000014,005080b3,1,00000699
2464,672,00000018,00410113,2,00000038
2467,673,0000001c,fff18193,3,00000012
2470,674,00000020,00018463,0,00000000
2473,675,00000024,fe0006e3,0,00000000
2478,676,00000010,00012283,5,0000000f
2483,677,00000014,005080b3,1,000006a8
2486,678,00000018,00410113,2,0000003c
2489,679,0000001c,fff18193,3,00000011
2492,680,00000020,00018463,0,00000000
2495,681,00000024,fe0006e3,0,00000000
2500,682,00000010,00012283,5,00000010
2505,683,00000014,005080b3,1,000006b8
2508,684,00000018,00410113,2,00000040
2511,685,0000001c,fff18193,3,00000010
2514,686,00000020,00018463,0,00000000
2517,687,00000024,fe0006e3,0,00000000
2522,688,00000010,00012283,5,00000011
2527,689,00000014,005080b3,1,000006c9
2530,690,00000018,00410113,2,00000044
2533,691,0000001c,fff18193,3,0000000f
2536,692,00000020,00018463,0,00000000
2539,693,00000024,fe0006e3,0,00000000
2544,694,00000010,00012283,5,00000012
2549,695,00000014,005080b3,1,000006db
2552,696,00000018,00410113,2,00000048
2555,697,0000001c,fff18193,3,0000000e
2558,698,00000020,00018463,0,00000000
2561,699,00000024,fe0006e3,0,00000000
2566,700,00000010,00012283,5,00000013
2571,701,00000014,005080b3,1,000006ee
2574,702,00000018,00410113,2,0000004c
2577,703,0000001c,fff18193,3,0000000d
2580,704,00000020,00018463,0,00000000
2583,705,00000024,fe0006e3,0,00000000
2588,706,00000010,00012283,5,00000014
2593,707,00000014,005080b3,1,00000702
2596,708,00000018,00410113,2,00000050
2599,709,0000001c,fff18193,3,0000000c
2602,710,00000020,00018463,0,00000000
2605,711,00000024,fe0006e3,0,00000000
2610,712,00000010,00012283,5,00000015
2615,713,00000014,005080b3,1,00000717
2618,714,00000018,00410113,2,00000054
2621,715,0000001c,fff18193,3,0000000b
2624,716,00000020,00018463,0,00000000
2627,717,00000024,fe0006e3,0,00000000
2632,718,00000010,00012283,5,00000016
2637,719,00000014,005080b3,1,0000072d
2640,720,00000018,00410113,2,00000058
2643,721,0000001c,fff18193,3,0000000a
2646,722,00000020,00018463,0,00000000
2649,723,00000024,fe0006e3,0,00000000
2654,724,00000010,00012283,5,00000017
2659,725,00000014,005080b3,1,00000744
2662,726,00000018,00410113,2,0000005c
2665,727,0000001c,fff18193,3,00000009
2668,728,00000020,00018463,0,00000000
